13079021 77 16587 415 16706 62.09 110402 1.00 30875 10.00 67223 1.00 19896 56.92 127942 1.00 417 28457.74 488 1.00 11180 1.00 1658 636418.50 0000000000000000 pp500_production_2012
13079022 78 16587 600 24535 60.73 158539 1.00 44382 10.00 96323 1.00 28776 55.67 181591 1.00 612 27836.71 685 1.00 16083 1.00 2323 622530.06 0000000000000000 pp500_production_2012
13079023 79 16587 186 7222 58.01 44642 1.00 12762 10.00 27511 1.00 8540 53.18 51000 1.00 182 26587.71 207 1.00 4344 1.00 713 594598.00 0000000000000000 pp500_production_2012
13079029 82 16587 2254 93937 54.98 558341 1.00 158625 10.00 348114 1.00 111272 50.40 635232 1.00 2430 25198.22 2759 1.00 52084 1.00 9239 563523.75 0000000000000000 pp500_production_2012
13079031 83 16587 900 32071 52.69 181825 1.00 52886 10.00 115033 1.00 37307 48.30 202851 1.00 847 24148.18 929 1.00 17347 1.00 3161 540041.12 0000000000000000 pp500_production_2012
13079032 84 16587 2156 88284 52.20 499304 1.00 144316 10.00 316644 1.00 103539 47.85 559108 1.00 2348 23925.54 2646 1.00 45788 1.00 8555 535062.06 0000000000000000 pp500_production_2012
13079033 85 16587 1448 58830 50.69 321648 1.00 93582 10.00 204095 1.00 69554 46.46 363118 1.00 1576 23232.02 1749 1.00 29087 1.00 5868 519552.50 0000000000000000 pp500_production_2012
13079034 86 16587 932 37262 49.55 198821 1.00 57506 10.00 124830 1.00 44820 45.42 228720 1.00 1009 22712.25 1168 1.00 17579 1.00 3883 507928.50 0000000000000000 pp500_production_2012
13079035 87 16587 980 38905 48.63 202442 1.00 57812 10.00 125308 1.00 47687 44.57 240039 1.00 1036 22287.28 1208 1.00 17654 1.00 4075 498424.53 0000000000000000 pp500_production_2012
13079036 88 16587 1041 41749 47.48 214156 1.00 61583 10.00 133690 1.00 50380 43.52 247758 1.00 1125 21759.38 1294 1.00 18626 1.00 4330 486618.75 0000000000000000 pp500_production_2012
13079037 89 16587 1298 51378 45.35 251597 1.00 73233 10.00 159099 1.00 62368 41.57 292545 1.00 1390 20784.30 1629 1.00 21545 1.00 5394 464812.59 0000000000000000 pp500_production_2012
13079038 90 16587 1219 46344 44.05 221597 1.00 64511 10.00 140745 1.00 56151 40.38 256306 1.00 1260 20190.71 1455 1.00 18801 1.00 4425 451537.69 0000000000000000 pp500_production_2012
13079044 92 16587 421 16855 41.27 76227 1.00 22788 10.00 49801 1.00 19946 37.83 85539 1.00 466 18913.92 522 1.00 6378 1.00 1760 422983.97 0000000000000000 pp500_production_2012
13079073 93 16592 1281 56266 70.52 416332 1.00 118378 10.00 254265 1.00 60192 64.64 437117 1.00 1401 32322.50 1500 1.00 50341 1.00 4895 722848.62 0000000000000000 pp500_production_2012
13079074 94 16592 2105 88390 66.56 619147 1.00 177164 10.00 380948 1.00 96841 61.01 660931 1.00 2237 30506.13 2491 1.00 69716 1.00 8086 682228.12 0000000000000000 pp500_production_2012
13079075 95 16592 2303 95522 62.57 632047 1.00 181027 10.00 389745 1.00 107245 57.36 689433 1.00 2428 28677.99 2727 1.00 67297 1.00 8888 641344.12 0000000000000000 pp500_production_2012
13079076 96 16592 2376 97968 59.58 619733 1.00 175822 10.00 377672 1.00 111801 54.61 690490 1.00 2499 27307.06 2778 1.00 63628 1.00 9227 610685.19 0000000000000000 pp500_production_2012
13079077 97 16592 2052 83716 56.98 509112 1.00 143770 10.00 308730 1.00 96451 52.23 570952 1.00 2151 26116.12 2498 1.00 50577 1.00 8007 584051.50 0000000000000000 pp500_production_2012
13079079 98 16592 3018 122755 54.00 712407 1.00 204979 10.00 442371 1.00 140283 49.50 788830 1.00 3235 24750.45 3642 1.00 68977 1.00 11776 553510.06 0000000000000000 pp500_production_2012
13080001 99 16592 195 7765 51.10 42407 1.00 12454 10.00 26742 1.00 8796 46.84 46553 1.00 207 23419.14 229 1.00 4099 1.00 753 523737.19 0000000000000000 pp500_production_2012
13080002 100 16592 1135 45882 50.92 251709 1.00 72849 10.00 157559 1.00 52352 46.68 277635 1.00 1221 23338.50 1363 1.00 23556 1.00 4353 521933.78 0000000000000000 pp500_production_2012
13080003 101 16592 692 28654 49.56 153069 1.00 44755 10.00 96718 1.00 32471 45.43 167210 1.00 758 22714.88 843 1.00 14519 1.00 2766 507987.31 0000000000000000 pp500_production_2012
